"new_url","new_path","status","current_location","canonical","title","h1","raw_title","raw_h1","type","product_or_category_name","public_code","public_one_c_name","public_one_c_code","category","subcategory","facet","source","metadata_basis"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00001305","/product/%D0%9D%D0%A4-00001305","200","","","Средство для ручной мойки посуды PROF DW Лимон 5 л","Средство для ручной мойки посуды PROF DW Лимон 5 л","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Средство для ручной мойки посуды PROF DW Лимон 5 л","НФ-00001305","Средство для ручной мойки посуды PROF DW Лимон 5 л","НФ-00001305","Химия, чистящие средства","Для мытья посуды","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00002609","/product/%D0%9D%D0%A4-00002609","200","","","Средство для мытья посуды Purity new ВВ 5л","Средство для мытья посуды Purity new ВВ 5л","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Средство для мытья посуды Purity new ВВ 5л","НФ-00002609","Средство для мытья посуды Purity new ВВ 5л (4)","НФ-00002609","Химия, чистящие средства","Для мытья посуды","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00000236","/product/%D0%9D%D0%A4-00000236","200","","","Средство для мытья пола Floor Wash ВВ 5 л","Средство для мытья пола Floor Wash ВВ 5 л","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Средство для мытья пола Floor Wash ВВ 5 л","НФ-00000236","Средство для мытья пола Floor Wash ВВ 5 л (4)","НФ-00000236","Химия, чистящие средства","Для полов","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00000654","/product/%D0%9D%D0%A4-00000654","200","","","Средство для кухни и плит Rail спрей 500 мл","Средство для кухни и плит Rail спрей 500 мл","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Средство для кухни и плит Rail спрей 500 мл","НФ-00000654","Средство для кухни и плит ЖЕЛТЫЙ Rail спрей 500 мл (16)","НФ-00000654","Химия, чистящие средства","Жироудалители","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00000879","/product/%D0%9D%D0%A4-00000879","200","","","СПК 257 на 3 секции черный контейнер (крышка арт. 0899)","СПК 257 на 3 секции черный контейнер (крышка арт. 0899)","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","СПК 257 на 3 секции черный контейнер (крышка арт. 0899)","НФ-00000879","СПК 257 на 3 секции черный контейнер дно (30/300)","НФ-00000879","Одноразовая посуда","Контейнеры под запайку","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00001031","/product/%D0%9D%D0%A4-00001031","200","","","СПК 257 на 2 секции черный контейнер (крышка арт. 1032)","СПК 257 на 2 секции черный контейнер (крышка арт. 1032)","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","СПК 257 на 2 секции черный контейнер (крышка арт. 1032)","НФ-00001031","СПК 257 на 2 секции черный контейнер дно (30/300)","НФ-00001031","Одноразовая посуда","Контейнеры под запайку","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00000899","/product/%D0%9D%D0%A4-00000899","200","","","СПК 257 крышка прозрачная к 3-секц. контейнеру","СПК 257 крышка прозрачная к 3-секц. контейнеру","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","СПК 257 крышка прозрачная к 3-секц. контейнеру","НФ-00000899","СПК 257 крышка прозрачная к 3-секционному контейнеру (30/300)","НФ-00000899","Одноразовая посуда","Коробки для пиццы","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00001032","/product/%D0%9D%D0%A4-00001032","200","","","СПК 257 крышка прозрачная к 2-секц. контейнеру","СПК 257 крышка прозрачная к 2-секц. контейнеру","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","СПК 257 крышка прозрачная к 2-секц. контейнеру","НФ-00001032","СПК 257 крышка прозрачная к 2-секционному контейнеру (30/300)","НФ-00001032","Одноразовая посуда","Стаканы","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00000328","/product/%D0%9D%D0%A4-00000328","200","","","СПК 190 черный контейнер 750мл (крышка арт. 0431)","СПК 190 черный контейнер 750мл (крышка арт. 0431)","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","СПК 190 черный контейнер 750мл (крышка арт. 0431)","НФ-00000328","СПК 190 чёрное дно 750 мл (75/300)","НФ-00000328","Одноразовая посуда","Формы алюминиевые","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00000431","/product/%D0%9D%D0%A4-00000431","200","","","СПК 190 крышка к контейнеру прозрачная","СПК 190 крышка к контейнеру прозрачная","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","СПК 190 крышка к контейнеру прозрачная","НФ-00000431","СПК 190 крышка к контейнеру прозрачная (75/300)","НФ-00000431","Одноразовая посуда","Контейнеры под запайку","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00002484","/product/%D0%9D%D0%A4-00002484","200","","","СПК 1212 черный контейнер 500 мл (крышка арт. 0422)","СПК 1212 черный контейнер 500 мл (крышка арт. 0422)","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","СПК 1212 черный контейнер 500 мл (крышка арт. 0422)","НФ-00002484","СПК 1212 черный 500 мл дно (50/500)","НФ-00002484","Одноразовая посуда","Контейнеры под запайку","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00000327","/product/%D0%9D%D0%A4-00000327","200","","","СПК 1212 черный контейнер 250 мл (крышка арт. 0422)","СПК 1212 черный контейнер 250 мл (крышка арт. 0422)","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","СПК 1212 черный контейнер 250 мл (крышка арт. 0422)","НФ-00000327","СПК 1212 черный 250 мл дно (50/500)","НФ-00000327","Одноразовая посуда","Контейнеры","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00000422","/product/%D0%9D%D0%A4-00000422","200","","","СПК 1212 крышка к контейнеру","СПК 1212 крышка к контейнеру","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","СПК 1212 крышка к контейнеру","НФ-00000422","СПК 1212 крышка к контейнеру (50/500)","НФ-00000422","Одноразовая посуда","Контейнеры под запайку","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00001200","/product/%D0%9D%D0%A4-00001200","200","","","Соусник С11С2 2-секц. 117х85х30 прозрачный (крышка арт. 1201)","Соусник С11С2 2-секц. 117х85х30 прозрачный (крышка арт. 1201)","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Соусник С11С2 2-секц. 117х85х30 прозрачный (крышка арт. 1201)","НФ-00001200","Соусник С11С2 2-секц 117х85х30 прозрачный (200/1200)","НФ-00001200","Одноразовая посуда","Соусники","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
"https://clover-spb.ru/product/%D0%9D%D0%A4-00000602","/product/%D0%9D%D0%A4-00000602","200","","","Соусник с крышкой прозрачный 80 мл","Соусник с крышкой прозрачный 80 мл","Хозтовары, упаковка и химия для HoReCa | КЛЕВЕР","","product","Соусник с крышкой прозрачный 80 мл","НФ-00000602","Соусник с крышкой 80 мл Покров 1254П (80/960)","НФ-00000602","Одноразовая посуда","Соусники","","public_api","direct route GET for HTTP status/location/raw metadata/canonical; identity, hierarchy, title and h1 from public API"
